Zeitstempel,ursprüngliche Frage,angeklickte FAQ-Frage,Anzahl expandieren,Anzahl zusammenklappen,Anzahl Klick zur Externen Quelle,URL zur externen FAQ Quelle,Autor der FAQ
2021-09-01T07-04-28.088023,Ich hatte Kontakt mit einer Person die auf Virus positiv getestet wurde,"Was mache ich, wenn ich Kontakt zu einer positiv getesteten Person hatte?",1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_76,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T07-29-30.393827,Ich möchte einen Termin machen,"Kann ich bei Ihnen nur einen Termin buchen, mich online registrieren oder einen schriftlichen Antrag stellen, wenn ich in Berlin gemeldet bin?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
2021-09-01T07-29-30.393827,ich möchte einen Führerschein beantragen,Ich habe meinen Führerschein verloren bzw. er wurde gestohlen. Wie und wo kann ich eine  Expressherstellung des Führerscheins  veranlassen?,2,1,1,https://www.berlin.de/labo/mobilitaet/fahrerlaubnisse-personen-und-gueterbefoerderung/artikel.911946.php#faq_1_24,"Berlin, Landesamt für Bürger- und Ordnungsangelegenheiten"
2021-09-01T07-29-35.008689,Termin Wohnung ummelden,"Kann ich bei Ihnen nur einen Termin buchen, mich online registrieren oder einen schriftlichen Antrag stellen, wenn ich in Berlin gemeldet bin?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
2021-09-01T07-34-56.212364,wer bekommt Drittimpfuneb,"Wenn der Bürger oder die Bürgerin während der ersten Impfphase das entsprechende Alter erreicht, wird er dann angeschrieben? Wenn nicht, wann und woher bekommt er eine entsprechende Information?",1,1,0,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_55,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T07-34-56.212364,wer bekommt Drittimpfuneb,Wer gehört zu den Geimpften und Genesenen?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_4,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T07-34-56.212364,dritte Impfung,Wer soll geimpft werden?,1,1,0,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_12,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T07-39-25.7989_4,Genesen Bescheinigung,Wo finde ich das Muster für eine Bescheinigung über das tagesaktuelle Testergebnis?,2,1,1,https://www.berlin.de/corona/faq/#accordion_faq_1_41,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T07-43-28.080607,Da gibt es keine termine,Was ist mit Terminen beim Amt?,1,1,0,https://www.berlin.de/sen/soziales/corona/#faq_1_47,"Berlin, Senatsverwaltung für Integration, Arbeit und Soziales"
2021-09-01T07-43-28.080607,Da gibt es keine termine,"Mein Projekt sollte an mehreren Terminen stattfinden. Einige Termine konnte ich verschieben, andere musste ich streichen. Kann ich für die ausgefallenen Termine Ausfallhonorare zahlen?",1,1,0,https://www.berlin.de/sen/kulteu/aktuelles/corona/artikel.915045.php#faq_1_25,"Berlin, Senatsverwaltung für Kultur und Europa"
2021-09-01T07-44-54.33796_,Müssen geimpfte Kontakte eines positiv auf covid getesteten in Quarantäne?,"Was mache ich, wenn ich Kontakt zu einer positiv getesteten Person hatte?",1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_76,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T07-50-02.080558,Ich brauche einen Termin für ein Führungszeugnis,"Kann ich bei Ihnen nur einen Termin buchen, mich online registrieren oder einen schriftlichen Antrag stellen, wenn ich in Berlin gemeldet bin?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
2021-09-01T07-53-29.392419,I'm fully vaccinated. Do I need to be tested when staying at a hotel in Berlin?,Can I take a holiday in a Berlin hotel?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_61,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T08-17-17.627166,"Hallo, wir werden mit unserer Abschlussklasse in der übernächsten Woche nach Berlin kommen. Wir testen zwar alle Schüler/innen vor der Abfahrt, aber was passiert, wenn jemand in Berlin positiv getestet wird? VG",Brauche ich für die Einreise nach Berlin einen Corona-Test?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_63,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T08-17-17.627166,"Hallo, wir werden mit unserer Abschlussklasse in der übernächsten Woche nach Berlin kommen. Wir testen zwar alle Schüler/innen vor der Abfahrt, aber was passiert, wenn jemand in Berlin positiv getestet wird? VG",Kann ich Urlaub in einem Berliner Hotel machen?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_61,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T08-22-12.928397,3 Woche. Quarantäne,"Das Testergebnis ist positiv, muss meine/n Mitarbeiter:in nun in Quarantäne und die Arbeitsstätte verlassen?",1,1,0,https://www.berlin.de/corona/massnahmen/arbeit/fragen-und-antworten-test-angebot-pflicht-unternehmen-1075828.php#accordion_faq_1_13,"Berlin, Der Regierende Bügermeister von Berlin - Senatskanzlei"
2021-09-01T08-23-36.660883,wer wird als kontaktperson bezeichnet,Wer zahlt die Tests?,1,1,0,https://www.berlin.de/corona/massnahmen/arbeit/fragen-und-antworten-test-angebot-pflicht-unternehmen-1075828.php#accordion_faq_1_5,"Berlin, Der Regierende Bügermeister von Berlin - Senatskanzlei"
2021-09-01T08-44-42.219997,Ich kann keinen Termin buchen.  Es gibt keine Termine,"Kann ich bei Ihnen nur einen Termin buchen, mich online registrieren oder einen schriftlichen Antrag stellen, wenn ich in Berlin gemeldet bin?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
2021-09-01T08-51-36.14764_,Berlinpass beantragen,Wie kann ich derzeit meinen berlinpass verlängern oder neu ausstellen lassen?,2,1,1,https://www.berlin.de/sen/soziales/corona/#faq_1_20,"Berlin, Senatsverwaltung für Integration, Arbeit und Soziales"
2021-09-01T08-52-45.897757,Maskenpflicht,Wo muss ich eine medizinische Gesichtsmaske tragen?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_55,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T09-12-57.757429,Muss bei einer Veranstaltung im Freien mit weniger als 100 Personen eine Maske getragen werden?,Ist das Tanzen im Freien erlaubt?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_10,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T09-12-57.757429,Muss bei einer Veranstaltung im Freien mit weniger als 100 Personen eine Maske getragen werden?,Welche Personenobergrenzen und weiteren Regelungen gelten bei Veranstaltungen?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_8,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T09-14-45.462677,Termin Anmeldung Wohnung,"Kann ich bei Ihnen nur einen Termin buchen, mich online registrieren oder einen schriftlichen Antrag stellen, wenn ich in Berlin gemeldet bin?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
2021-09-01T09-22-11.676091,"Wieviel Personen bei Innen Veranstaltungen sind erlaubt, wenn alle geimpft oder genesen sind?",Welche Personenobergrenzen und weiteren Regelungen gelten bei Veranstaltungen?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_8,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T09-22-11.676091,"Wieviel Personen bei Innen Veranstaltungen sind erlaubt, wenn alle geimpft oder genesen sind?",Welche Personenobergrenzen gelten bei Versammlungen?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_11,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T09-22-11.676091,"Wieviel Personen bei Innen Veranstaltungen sind erlaubt, wenn alle geimpft oder genesen sind?",Welche Veranstaltungen dürfen stattfinden?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_9,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T09-23-27.896859,ich bin positiv getestet. muss meine ehefrau ebenfalls in Quarantäne?,Was passiert bei einem positiven Testergebnis?,1,1,0,https://www.berlin.de/sen/bjf/corona/tests/#accordion_faq_1_49,"Senatsverwaltung für Bildung, Jugend und Familie"
2021-09-01T09-23-27.896859,ich bin positiv getestet. muss meine ehefrau ebenfalls in Quarantäne?,"Das Testergebnis ist positiv, muss meine/n Mitarbeiter:in nun in Quarantäne und die Arbeitsstätte verlassen?",1,1,0,https://www.berlin.de/corona/massnahmen/arbeit/fragen-und-antworten-test-angebot-pflicht-unternehmen-1075828.php#accordion_faq_1_13,"Berlin, Der Regierende Bügermeister von Berlin - Senatskanzlei"
2021-09-01T09-40-15.216983,ich brauche eine Termin für die Anmeldung!,Wer kann/sollte sich online eintragen? Wo kann ich mich registrieren?,2,1,1,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_18,"Berlin, Landesamt für Einwanderung"
2021-09-01T09-50-07.593586,Tanzveranstaltung,Für was benötige ich einen Schnelltest oder einen Selbsttest?,2,1,1,https://www.berlin.de/corona/faq/#accordion_faq_1_28,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T09-50-17.963981,Ich brauch einen Termin beim standesamt für Beantragung  meiner Geburtsurkunde,Wer kann/sollte sich online eintragen? Wo kann ich mich registrieren?,1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_18,"Berlin, Landesamt für Einwanderung"
2021-09-01T09-50-17.963981,Ich brauch einen Termin beim standesamt für Beantragung  meiner Geburtsurkunde,Ich habe keine Buchungsbestätigung für meinen Termin bekommen. Ist diese notwendig bzw. gilt der Termin jetzt trotzdem?,1,1,0,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_43,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T09-50-25.263754,visa,Ich bin mit einem Schengen-Visum zu Besuchs- oder Geschäftszwecken in die Bundesrepublik Deutschland eingereist und bin jetzt in Berlin. Auf Grund der pandemiebedingten Reisebeschränkungen kann ich aktuell nicht ausreisen. Mein Schengen-Visum (z.B. ein 3-monatiges Touristenvisum oder ein mehrjähriges Multi-Visum) läuft jedoch bald aus. Was soll ich tun?,1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_30,"Berlin, Landesamt für Einwanderung"
2021-09-01T09-50-25.263754,visa,"Ich habe gehört, Deutschland hat die Grenzen auch für Menschen von außerhalb Europas wieder geöffnet. Auch die deutschen Botschaften und Konsulate sollen wieder Visa erteilen. Wo erfahre ich Genaueres und kann ich für meinen Aufenthaltszweck ein Visum bekommen?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_56,"Berlin, Landesamt für Einwanderung"
2021-09-01T09-50-25.263754,anmelden,Ich habe keine Buchungsbestätigung für meinen Termin bekommen. Ist diese notwendig bzw. gilt der Termin jetzt trotzdem?,1,1,0,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_43,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T09-50-48.764804,"Ich benötige einen neuen Führerschein, meiner ist verloen gegangen",Ich habe meinen Führerschein verloren bzw. er wurde gestohlen. Wie und wo kann ich eine  Expressherstellung des Führerscheins  veranlassen?,1,1,0,https://www.berlin.de/labo/mobilitaet/fahrerlaubnisse-personen-und-gueterbefoerderung/artikel.911946.php#faq_1_24,"Berlin, Landesamt für Bürger- und Ordnungsangelegenheiten"
2021-09-01T09-52-33.303654,Mein Sohn ist genesen. Wie lange ist er von der Testpflicht an der Schule befreit?,Ab welchem Alter gilt diese Testpflicht?,1,1,0,https://www.berlin.de/corona/massnahmen/einzelhandel-und-dienstleistungen/fragen-und-antworten-zur-testpflicht-fuer-kund-innen-1075814.php#accordion_faq_1_2,"Berlin, Der Regierende Bürgermeister von Berlin - Senatskanzlei"
2021-09-01T10-07-33.528534,Brauche ich für einen Flug von Frankfurt nach Berlin einen negativen Pcr Test?,Brauche ich für die Einreise nach Berlin einen Corona-Test?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_63,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T10-09-04.527567,wie viele leuten dürfen sich im freien treffen,Mit wie vielen Personen darf ich mich privat treffen?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_7,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T10-14-37.258136,gibt es im freien eine maskenpflicht,Wo muss ich eine medizinische Gesichtsmaske tragen?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_55,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T10-18-09.305425,"I am italian citizen, how much do i have to pay?",Can I pay contingency fees? And in what amount?,1,1,0,https://www.berlin.de/sen/kulteu/aktuelles/corona/artikel.915045.php#faq_1_24,"Berlin, Senatsverwaltung für Kultur und Europa"
2021-09-01T10-25-07.585379,3. Impfung,Wer soll geimpft werden?,1,1,0,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_12,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T10-29-03.343695,Hallo ich muss mich anmelden. Aber alle Termindaten sind ausgebucht. Was kann ich machen?,"Kann ich bei Ihnen nur einen Termin buchen, mich online registrieren oder einen schriftlichen Antrag stellen, wenn ich in Berlin gemeldet bin?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
2021-09-01T10-35-43.78819_,gilt im baumarkt testpflicht?,Können betriebliche Hygienevorrichtungen die Kund:innen von der Vorlage eines negativen Nachweises oder Selbsttests von der Testpflicht entbinden?,1,1,0,https://www.berlin.de/corona/massnahmen/einzelhandel-und-dienstleistungen/fragen-und-antworten-zur-testpflicht-fuer-kund-innen-1075814.php#accordion_faq_1_9,"Berlin, Der Regierende Bürgermeister von Berlin - Senatskanzlei"
2021-09-01T10-35-43.78819_,gilt im baumarkt testpflicht?,Ab welchem Alter gilt diese Testpflicht?,1,1,0,https://www.berlin.de/corona/massnahmen/einzelhandel-und-dienstleistungen/fragen-und-antworten-zur-testpflicht-fuer-kund-innen-1075814.php#accordion_faq_1_2,"Berlin, Der Regierende Bürgermeister von Berlin - Senatskanzlei"
2021-09-01T10-35-43.78819_,gilt im baumarkt testpflicht?,Besteht auch eine Testpflicht für Abholung (Click and Collect)?,1,1,0,https://www.berlin.de/corona/massnahmen/einzelhandel-und-dienstleistungen/fragen-und-antworten-zur-testpflicht-fuer-kund-innen-1075814.php#accordion_faq_1_10,"Berlin, Der Regierende Bürgermeister von Berlin - Senatskanzlei"
2021-09-01T10-35-43.78819_,gilt im baumarkt testpflicht?,"Mein Unternehmen kann die finanzielle Last, welche durch die Testpflicht verursacht wird, nicht stemmen.",1,1,0,https://www.berlin.de/corona/massnahmen/arbeit/fragen-und-antworten-test-angebot-pflicht-unternehmen-1075828.php#accordion_faq_1_12,"Berlin, Der Regierende Bügermeister von Berlin - Senatskanzlei"
2021-09-01T10-35-43.78819_,gilt im baumarkt testpflicht?,Was gilt hinsichtlich der Anwesenheitsdokumentation?,1,1,0,https://www.berlin.de/sen/arbeit/corona/#faq_1_11,"Berlin, Senatsverwaltung für Integration, Arbeit und Soziales"
2021-09-01T10-45-20.034618,Wo herrscht FFP-2 Maskenpflicht,Wo muss ich eine FFP2-Maske tragen?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_54,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T10-49-11.608365,3G,"Wie weisen Schüler/-innen in der Freizeit nach, dass sie in der Schule getestet wurden?",2,1,1,https://www.berlin.de/sen/bjf/corona/schule/index.php#accordion_faq_1_4,"Berlin, Senatsverwaltung für Bildung, Jugend und Familie"
2021-09-01T10-50-14.393603,kann man die Zulassungsstelle per email erreichen,"Reicht es zurzeit, Vollmachten per Email einzureichen?",1,1,0,https://www.berlin.de/sen/kulteu/aktuelles/corona/artikel.915204.php#faq_1_7,"Berlin, Senatsverwaltung für Kultur und Europa"
2021-09-01T10-50-14.393603,kann man die Zulassungsstelle per email erreichen,"Reicht es zurzeit, Änderungsanträge und Mittelabrufe per Email einzureichen?",1,1,0,https://www.berlin.de/sen/kulteu/aktuelles/corona/artikel.915045.php#faq_1_38,"Berlin, Senatsverwaltung für Kultur und Europa"
2021-09-01T10-50-58.744371,corona testzentrum eröffnen,Wird man vor der Impfung getestet (Schnelltest)?,1,1,0,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_14,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T10-50-58.744371,corona testzentrum eröffnen,Wo kann ich einen Selbsttest erwerben?,2,1,1,https://www.berlin.de/corona/faq/#accordion_faq_1_33,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T10-50-58.744371,corona testzentrum eröffnen,Was ist ein Corona-Antigen-Schnelltest?,1,1,0,https://www.berlin.de/sen/bjf/corona/tests/#accordion_faq_1_41,"Senatsverwaltung für Bildung, Jugend und Familie"
2021-09-01T10-59-22.990916,I want to make an appointment for the registration in Berlin Lichtenberg in October,I have not received a booking confirmation for my appointment. Is this necessary or is the appointment still valid?,1,1,0,https://www.berlin.de/corona/impfen/faq/#accordion_faq_1_43,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T10-59-22.990916,I want to make an appointment for the registration in Berlin Lichtenberg in October,"Can I only book an appointment with you, register online or submit a written application if I am registered in Berlin?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
2021-09-01T11-01-26.679458,Maskenpflicht,Wo muss ich eine medizinische Gesichtsmaske tragen?,1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_55,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T11-05-25.864493,Gastronomie,"Was muss ich beim Besuch in einem Restaurant, einem Café oder in einer Bar beachten?",1,1,0,https://www.berlin.de/corona/faq/#accordion_faq_1_44,Der Regierende Bürgermeister von Berlin - Senatskanzlei
2021-09-01T11-10-37.512709,Muss ich in der Kita eine FFP-Maske tragen? Oder reicht auch eine OP-Maske?,Werden Masken und weitere Hygieneregeln in den Kitas beibehalten?,1,1,0,https://www.berlin.de/sen/bjf/corona/kita/index.php#accordion_faq_1_5,"Berlin, Senatsverwaltung für Bildung, Jugend und Familie"
2021-09-01T11-10-37.512709,Muss ich in der Kita eine FFP-Maske tragen? Oder reicht auch eine OP-Maske?,Masken in Pflegeeinrichtungen,1,1,0,https://www.berlin.de/sen/pflege/pflege-und-rehabilitation/coronavirus/faq/#faq_1_4,"Berlin, Senatsverwaltung für Gesundheit, Pflege und Gleichstellung"
2021-09-01T11-13-40.478994,termin buchung,"Kann ich bei Ihnen nur einen Termin buchen, mich online registrieren oder einen schriftlichen Antrag stellen, wenn ich in Berlin gemeldet bin?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_21,"Berlin, Landesamt für Einwanderung"
2021-09-01T11-15-29.826022,Ich benötige einen Termin für die Verlängerung meines Personalausweises. Dieser ist bereits abgelaufen und nirgendwo gibt es einen Termin,"Ich habe eine Aufenthaltserlaubnis, in der der folgende Satz steht  Verlängerung der Aufenthaltserlaubnis ausgeschlossen (§ 8 Abs. 2 AufenthG)  Meine Aufenthaltserlaubnis ist bereits abgelaufen oder läuft bald ab. Was muss ich tun? Kann ich bei Ihnen einen Termin buchen?",1,1,0,https://www.berlin.de/einwanderung/aufenthalt/artikel.909816.php#faq_1_45,"Berlin, Landesamt für Einwanderung"
